"","Date","Home","Away","HomeGoals","AwayGoals"
"370",2010-11-26,"NAC Breda","PSV Eindhoven",4,2
"371",2010-11-27,"Willem II","Excelsior",1,1
"372",2010-11-27,"AZ Alkmaar","Heerenveen",2,2
"373",2010-11-27,"NEC Nijmegen","Twente",2,4
"374",2010-11-27,"Roda JC","Groningen",1,0
"375",2010-11-28,"Heracles Almelo","Utrecht",2,1
"376",2010-11-28,"De Graafschap","Vitesse",1,1
"377",2010-11-28,"VVV-Venlo","Ajax",0,2
"378",2010-11-28,"Feyenoord","ADO Den Haag",2,1
"379",2010-12-03,"Groningen","Vitesse",4,1
"380",2010-12-04,"PSV Eindhoven","Heracles Almelo",5,2
"381",2010-12-04,"Ajax","NEC Nijmegen",1,1
"382",2010-12-04,"Twente","De Graafschap",2,0
"383",2010-12-05,"Utrecht","Heerenveen",2,1
"384",2010-12-05,"ADO Den Haag","AZ Alkmaar",0,2
"385",2010-12-05,"Willem II","Feyenoord",1,1
"386",2010-12-14,"VVV-Venlo","Roda JC",0,4
"387",2010-12-15,"Excelsior","NAC Breda",1,3
"388",2010-12-10,"Heracles Almelo","VVV-Venlo",2,2
"389",2010-12-11,"NAC Breda","Utrecht",3,1
"390",2010-12-11,"NEC Nijmegen","Willem II",3,1
"391",2010-12-11,"Roda JC","ADO Den Haag",1,1
"392",2010-12-11,"De Graafschap","PSV Eindhoven",0,0
"393",2010-12-12,"Vitesse","Ajax",0,1
"394",2010-12-12,"Feyenoord","Excelsior",1,0
"395",2010-12-12,"Heerenveen","Twente",6,2
"396",2010-12-12,"Groningen","AZ Alkmaar",2,0
"397",2010-12-18,"ADO Den Haag","Willem II",2,1
"398",2010-12-18,"NAC Breda","Vitesse",1,1
"399",2010-12-18,"Heerenveen","De Graafschap",4,0
"400",2010-12-18,"Excelsior","Groningen",2,2
"401",2010-12-19,"PSV Eindhoven","Roda JC",3,1
"402",2011-01-19,"Twente","Heracles Almelo",5,0
"403",2011-01-19,"Ajax","Feyenoord",2,0
"404",2011-01-19,"AZ Alkmaar","NEC Nijmegen",2,2
"405",2011-01-19,"VVV-Venlo","Utrecht",1,2
"406",2010-08-14,"Twente","Heerenveen",0,0
"407",2010-08-14,"Ajax","Vitesse",4,2
"408",2010-08-14,"PSV Eindhoven","De Graafschap",6,0
"409",2010-08-14,"AZ Alkmaar","Groningen",1,1
"410",2010-08-14,"VVV-Venlo","Heracles Almelo",1,0
"411",2010-08-15,"Utrecht","NAC Breda",3,1
"412",2010-08-15,"Excelsior","Feyenoord",3,2
"413",2010-08-15,"Willem II","NEC Nijmegen",3,5
"414",2010-08-15,"ADO Den Haag","Roda JC",1,3
"415",2011-01-21,"ADO Den Haag","Heerenveen",3,1
"416",2011-01-22,"Willem II","Vitesse",1,0
"417",2011-01-22,"NEC Nijmegen","NAC Breda",2,2
"418",2011-01-22,"Heracles Almelo","AZ Alkmaar",0,0
"419",2011-01-22,"Feyenoord","De Graafschap",0,1
"420",2011-01-23,"Utrecht","Ajax",3,0
"421",2011-01-23,"VVV-Venlo","PSV Eindhoven",0,3
"422",2011-01-23,"Roda JC","Excelsior",3,0
"423",2011-01-23,"Groningen","Twente",1,2
"424",2011-01-28,"NEC Nijmegen","Heracles Almelo",1,1
"425",2011-01-29,"AZ Alkmaar","VVV-Venlo",6,1
"426",2011-01-29,"PSV Eindhoven","Willem II",2,1
"427",2011-01-29,"Vitesse","Roda JC",5,2
"428",2011-01-30,"Heerenveen","Groningen",1,4
"429",2011-01-30,"NAC Breda","Ajax",0,3
"430",2011-01-30,"Excelsior","ADO Den Haag",1,5
"431",2011-01-30,"Twente","Feyenoord",2,1
"432",2011-02-01,"De Graafschap","Utrecht",0,0
"433",2011-02-04,"Ajax","De Graafschap",2,0
"434",2011-02-05,"Heerenveen","NEC Nijmegen",0,0
"435",2011-02-05,"Excelsior","AZ Alkmaar",2,1
"436",2011-02-05,"PSV Eindhoven","ADO Den Haag",0,1
"437",2011-02-05,"VVV-Venlo","NAC Breda",3,0
"438",2011-02-06,"Vitesse","Feyenoord",1,1
"439",2011-02-06,"Heracles Almelo","Roda JC",1,0
"440",2011-02-06,"Utrecht","Twente",1,1
"441",2011-02-06,"Groningen","Willem II",7,1
"442",2011-02-12,"Twente","Vitesse",1,0
"443",2011-02-12,"AZ Alkmaar","PSV Eindhoven",0,4
"444",2011-02-12,"ADO Den Haag","VVV-Venlo",3,0
"445",2011-02-12,"Feyenoord","Heracles Almelo",2,1
"446",2011-02-12,"Willem II","Utrecht",3,3
"447",2011-02-13,"NAC Breda","Heerenveen",0,2
"448",2011-02-13,"NEC Nijmegen","Excelsior",2,0
"449",2011-02-13,"De Graafschap","Groningen",1,1
"450",2011-02-13,"Roda JC","Ajax",2,2
"451",2011-02-18,"Utrecht","Heracles Almelo",1,1
"452",2011-02-19,"Groningen","Roda JC",1,4
"453",2011-02-19,"Excelsior","Willem II",4,0
"454",2011-02-19,"Heerenveen","AZ Alkmaar",0,2
"455",2011-02-20,"Vitesse","De Graafschap",2,0
"456",2011-02-20,"Twente","NEC Nijmegen",1,1
"457",2011-02-20,"Ajax","VVV-Venlo",1,0
"458",2011-02-20,"PSV Eindhoven","NAC Breda",4,1
"459",2011-02-20,"ADO Den Haag","Feyenoord",2,2
"460",2011-02-25,"VVV-Venlo","Excelsior",1,0
"461",2011-02-26,"NAC Breda","ADO Den Haag",3,2
"462",2011-02-26,"Heracles Almelo","Vitesse",6,1
"463",2011-02-26,"Roda JC","De Graafschap",1,1
"464",2011-02-26,"Willem II","Heerenveen",4,3
"465",2011-02-27,"AZ Alkmaar","Twente",2,1
"466",2011-02-27,"Feyenoord","Groningen",5,1
